HOT669 SEQF2286 1 1 1529	Neisseria meningitidis H44/76	GCA_000185025.2_ASM18502v2
HOT822 SEQF1130 1 1 1520	Mycobacterium tuberculosis KZN 1435	GCA_000023625.1_ASM2362v1
HOT200 SEQF1076 2 4 1501	Fusobacterium nucleatum subsp. vincentii ATCC 49256	GCA_000182945.1_ASM18294v1
HOT200 SEQF1076 3 4 1501	Fusobacterium nucleatum subsp. vincentii ATCC 49256	GCA_000182945.1_ASM18294v1
HOT641 SEQF1111 6 6 789		Haemophilus influenzae 6P18H1	GCA_000173335.1_ASM17333v1
HOT641 SEQF1111 1 6 470		Haemophilus influenzae 6P18H1	GCA_000173335.1_ASM17333v1
HOT641 SEQF1111 4 6 988		Haemophilus influenzae 6P18H1	GCA_000173335.1_ASM17333v1
HOT641 SEQF1111 5 6 1003	Haemophilus influenzae 6P18H1	GCA_000173335.1_ASM17333v1
HOT641 SEQF1226 3 6 683		Haemophilus influenzae 3655	GCA_000169775.1_ASM16977v1
HOT641 SEQF1234 1 6 574		Haemophilus influenzae PittII	GCA_000169835.1_ASM16983v1
HOT641 SEQF1234 6 6 446		Haemophilus influenzae PittII	GCA_000169835.1_ASM16983v1
HOT641 SEQF1237 2 2 750		Haemophilus influenzae R3021	GCA_000169755.1_ASM16975v1
HOT641 SEQF1112 1 4 1009	Haemophilus influenzae 7P49H1	GCA_000173315.1_ASM17331v1
HOT641 SEQF1228 2 2 445		Haemophilus influenzae PittAA	GCA_000169795.1_ASM16979v1
HOT641 SEQF1112 4 4 996		Haemophilus influenzae 7P49H1	GCA_000173315.1_ASM17331v1
HOT641 SEQF1233 1 2 479		Haemophilus influenzae PittHH	GCA_000169815.1_ASM16981v1
HOT641 SEQF1112 3 4 1031	Haemophilus influenzae 7P49H1	GCA_000173315.1_ASM17331v1
HOT641 SEQF1228 1 2 392		Haemophilus influenzae PittAA	GCA_000169795.1_ASM16979v1
HOT641 SEQF1234 4 6 696		Haemophilus influenzae PittII	GCA_000169835.1_ASM16983v1
HOT641 SEQF1226 2 6 562		Haemophilus influenzae 3655	GCA_000169775.1_ASM16977v1
HOT641 SEQF1234 2 6 680		Haemophilus influenzae PittII	GCA_000169835.1_ASM16983v1
HOT641 SEQF1226 5 6 597		Haemophilus influenzae 3655	GCA_000169775.1_ASM16977v1
HOT641 SEQF1111 2 6 804		Haemophilus influenzae 6P18H1	GCA_000173335.1_ASM17333v1
HOT641 SEQF1234 3 6 650		Haemophilus influenzae PittII	GCA_000169835.1_ASM16983v1
HOT641 SEQF1226 4 6 586		Haemophilus influenzae 3655	GCA_000169775.1_ASM16977v1
HOT782 SEQF2753 1 4 1538	Prevotella fusca JCM 17724 W1435	GCA_001262015.1_ASM126201v1
HOT782 782-4304 2 2 1486	Prevotella_fusca__HOT_782__Strain_JCM_17724__GB_NR_114304__Named__G__2	GCA_001262015.1_ASM126201v1
HOT782 SEQF2753 4 4 1538	Prevotella fusca JCM 17724 W1435	GCA_001262015.1_ASM126201v1
HOT782 SEQF2753 2 4 1538	Prevotella fusca JCM 17724 W1435	GCA_001262015.1_ASM126201v1
HOT782 782F0012 1 2 1486	Prevotella_fusca__HOT_782__Strain_F0012__GB_GQ422745__Named__G__2	GCA_001262015.1_ASM126201v1
HOT782 SEQF2753 3 4 1538	Prevotella fusca JCM 17724 W1435	GCA_001262015.1_ASM126201v1
HOT885 885-3253 1 1 1486	Prevotella_scopos__HOT_885__Strain_JCM_17725__GB_AB683253__Named__G__4	GCA_001262015.1_ASM126201v1
HOT572 SEQF1663 3 6 1519	Prevotella veroralis F0319	GCA_000162935.1_ASM16293v1
HOT572 SEQF1663 6 6 1138	Prevotella veroralis F0319	GCA_000162935.1_ASM16293v1
HOT572 SEQF1663 2 6 696		Prevotella veroralis F0319	GCA_000162935.1_ASM16293v1
HOT572 SEQF1663 1 6 534		Prevotella veroralis F0319	GCA_000162935.1_ASM16293v1
HOT572 SEQF1663 4 6 729		Prevotella veroralis F0319	GCA_000162935.1_ASM16293v1
HOT572 SEQF1663 5 6 951		Prevotella veroralis F0319	GCA_000162935.1_ASM16293v1
HOT572 572-4079 2 3 1378	Prevotella_veroralis__HOT_572__Clone_071062_262__GB_JQ474079__Named__G__5	GCA_000162935.1_ASM16293v1
HOT572 572-3124 3 3 1486	Prevotella_veroralis__HOT_572__Strain_JCM_6290__GB_NR_113124__Named__G__5	GCA_000162935.1_ASM16293v1
HOT572 572-6473 1 3 1486	Prevotella_veroralis__HOT_572__Strain_ATCC_33779__GB_L16473__Named__G__5	GCA_000162935.1_ASM16293v1
HOT306 306DO027 1 1 1486	Prevotella_sp.__HOT_306__Clone_DO027__GB_AF385511__Unnamed__G__5	GCA_000162935.1_ASM16293v1
HOT306 SEQF1887 1 3 1397	Prevotella sp. oral taxon 306 str. F0472	GCA_000257925.1_PspF0472v1.0
HOT306 SEQF1887 3 3 1397	Prevotella sp. oral taxon 306 str. F0472	GCA_000257925.1_PspF0472v1.0
HOT306 SEQF1887 2 3 1397	Prevotella sp. oral taxon 306 str. F0472	GCA_000257925.1_PspF0472v1.0
HOT0298 SEQF1852 1 1 1519	Prevotella histicola F0411	GCA_000234055.1_Prev_hist_F0411_V1
HOT0298 298BE073 1 1 1486	Prevotella_histicola__HOT_298__Clone_BE073__GB_AF385551__Named__G__6	GCA_000234055.1_Prev_hist_F0411_V1
HOT313 313FM005 1 2 1486	Prevotella_sp.__HOT_313__Clone_FM005__GB_AF432133__Unnamed__X__5	GCA_000234055.1_Prev_hist_F0411_V1
HOT313 313-9254 2 2 1378	Prevotella_sp.__HOT_313__Clone_069104_177__GB_JQ449254__Unnamed__X__5	GCA_000234055.1_Prev_hist_F0411_V1
HOT469 469-3525 1 1 1504	Prevotella_melaninogenica__HOT_469__Strain_ATCC_25845__GB_AY323525__Named__G__6	GCA_000234055.1_Prev_hist_F0411_V1
HOT469 SEQF1142 4 4 1478	Prevotella melaninogenica ATCC 25845	GCA_000144405.1_ASM14440v1
HOT469 SEQF1142 2 4 1478	Prevotella melaninogenica ATCC 25845	GCA_000144405.1_ASM14440v1
HOT469 SEQF1142 1 4 1478	Prevotella melaninogenica ATCC 25845	GCA_000144405.1_ASM14440v1
HOT469 SEQF1142 3 4 1478	Prevotella melaninogenica ATCC 25845	GCA_000144405.1_ASM14440v1
HOT469 SEQF2734 1 1 1538	Prevotella melaninogenica DNF00666	GCA_000759305.1_04_NF40_HMP661v01
HOT314 314FU048 1 1 1486	Prevotella_sp.__HOT_314__Clone_FU048__GB_AY349393__Unnamed__X__5	GCA_000759305.1_04_NF40_HMP661v01
HOT396 396-7050 1 1 1487	Prevotella_sp.__HOT_396__Clone_P4PB_83__GB_AY207050__Phylotype__X__4	GCA_000759305.1_04_NF40_HMP661v01
HOT685 685-2483 1 1 1488	Prevotella_multiformis__HOT_685__Strain_PPPA21__GB_AB182483__Named__G__4	GCA_000759305.1_04_NF40_HMP661v01
HOT685 SEQF1986 1 1 1521	Prevotella multiformis DSM 16608	GCA_000191065.1_ASM19106v1
HOT0291 291AH005 1 3 1486	Prevotella_denticola__HOT_291__Clone_AH005__GB_AY005053__Named__G__5	GCA_000191065.1_ASM19106v1
HOT0291 SEQF1677 4 4 1475	Prevotella denticola F0289	GCA_000193395.1_ASM19339v1
HOT0291 SEQF1677 1 4 1475	Prevotella denticola F0289	GCA_000193395.1_ASM19339v1
HOT0291 SEQF1677 2 4 1475	Prevotella denticola F0289	GCA_000193395.1_ASM19339v1
HOT0291 SEQF1677 3 4 1475	Prevotella denticola F0289	GCA_000193395.1_ASM19339v1
HOT0291 SEQF2733 1 1 1541	Prevotella denticola DNF00960	GCA_000759205.1_04_NF40_HMP2139v01
HOT0291 291-3524 3 3 1504	Prevotella_denticola__HOT_291__Strain_ATCC_35308__GB_AY323524__Named__G__5	GCA_000759205.1_04_NF40_HMP2139v01
HOT0291 291AO036 2 3 1486	Prevotella_denticola__HOT_291__Clone_AO036__GB_AY005054__Named__G__5	GCA_000759205.1_04_NF40_HMP2139v01
HOT714 714-3121 1 1 1486	Prevotella_pallens__HOT_714__Strain_JCM_11140__GB_NR_113121__Named__G__5	GCA_000759205.1_04_NF40_HMP2139v01
HOT714 SEQF1989 1 1 1519	Prevotella pallens ATCC 700821	GCA_000220255.1_ASM22025v1
HOT643 643-2907 1 2 1506	Prevotella_intermedia__HOT_643__Strain_17__GB_NR_102907__Named__G__5	GCA_000220255.1_ASM22025v1
HOT643 SEQF1065 1 4 1458	Prevotella intermedia 17	GCA_000261025.1_ASM26102v1
HOT643 SEQF1065 4 4 1458	Prevotella intermedia 17	GCA_000261025.1_ASM26102v1
HOT643 SEQF1065 2 4 1458	Prevotella intermedia 17	GCA_000261025.1_ASM26102v1
HOT643 SEQF1065 3 4 1458	Prevotella intermedia 17	GCA_000261025.1_ASM26102v1
HOT643 643-3106 2 2 1488	Prevotella_intermedia__HOT_643__Strain_JCM_12248__GB_NR_113106__Named__G__5	GCA_000261025.1_ASM26102v1
HOT943 943-2878 1 1 1486	Prevotella_aurantiaca__HOT_943__Strain_OMA31__GB_NR_112878__Named__X__3	GCA_000261025.1_ASM26102v1
HOT693 SEQF1689 1 1 1520	Prevotella nigrescens F0103	GCA_000336235.1_Prev_nigr_F0103_V1
HOT693 693F0103 1 2 1487	Prevotella_nigrescens__HOT_693__Strain_F0103__GB_GU470890__Named__G__3	GCA_000336235.1_Prev_nigr_F0103_V1
HOT693 SEQF2617 1 1 1521	Prevotella nigrescens CC14M	GCA_000507825.1_Prev_nigr_CC14M_V1
HOT693 SEQF1893 1 1 1520	Prevotella nigrescens ATCC 33563	GCA_000220235.1_ASM22023v1
HOT693 693-3963 2 2 1487	Prevotella_nigrescens__HOT_693__Strain_NCTC_9336__GB_X73963__Named__G__3	GCA_000220235.1_ASM22023v1
HOT556 SEQF2729 1 1 1540	Prevotella bivia DNF00320	GCA_000759245.1_04_NF40_HMP647v01
HOT556 556-6475 1 1 1484	Prevotella_bivia__HOT_556__Strain_ATCC_29303__GB_L16475__Named__G__2	GCA_000759245.1_04_NF40_HMP647v01
HOT556 SEQF1797 1 1 1471	Prevotella bivia JCVIHMP010	GCA_000177315.1_ASM17731v1
HOT556 SEQF2728 1 1 1540	Prevotella bivia DNF00188	GCA_000759045.1_04_NF_x40_HMP1651v01
HOT556 SEQF2730 1 1 1540	Prevotella bivia DNF00650	GCA_000759165.1_04_NF40_HMP2136v01
HOT307 SEQF2149 1 1 1430	Prevotella salivae DSM 15606	GCA_000185845.1_ASM18584v1
HOT307 307-8826 1 1 1487	Prevotella_salivae__HOT_307__Strain_DSM_15606__GB_AB108826__Named__G__5	GCA_000185845.1_ASM18584v1
HOT307 SEQF1932 1 1 1480	Prevotella salivae F0493	GCA_000477535.1_PsaliF0493v1.0
HOT311 SEQF1656 2 2 437		Prevotella oris F0302	GCA_000162915.1_ASM16291v1
HOT311 311-F045 2 2 1487	Prevotella_oris__HOT_311__Clone__F045__GB_AY005056__Named__G__5	GCA_000162915.1_ASM16291v1
HOT311 SEQF1656 1 2 1521	Prevotella oris F0302	GCA_000162915.1_ASM16291v1
HOT311 311-6474 1 2 1487	Prevotella_oris__HOT_311__Strain_ATCC_33573__GB_L16474__Named__G__5	GCA_000162915.1_ASM16291v1
HOT289 289AA016 3 3 1487	Prevotella_maculosa__HOT_289__Clone_AA016__GB_AY005058__Named__G__4	GCA_000162915.1_ASM16291v1
HOT289 289AA020 1 3 1486	Prevotella_maculosa__HOT_289__Clone_AA020__GB_AY005057__Named__G__4	GCA_000162915.1_ASM16291v1
HOT289 289-4315 2 3 1487	Prevotella_maculosa__HOT_289__Strain_W1609__GB_EF534315__Named__G__4	GCA_000162915.1_ASM16291v1
HOT289 SEQF2147 3 3 1520	Prevotella maculosa OT 289	GCA_000243015.1_Prev_macu_OT_289_V1
HOT289 SEQF2147 1 3 1520	Prevotella maculosa OT 289	GCA_000243015.1_Prev_macu_OT_289_V1
HOT289 SEQF2147 2 3 1520	Prevotella maculosa OT 289	GCA_000243015.1_Prev_macu_OT_289_V1
HOT288 288-6472 2 2 1485	Prevotella_oulorum__HOT_288__Strain_ATCC_43324__GB_L16472__Named__G__4	GCA_000243015.1_Prev_macu_OT_289_V1
HOT288 SEQF1691 1 1 1518	Prevotella oulorum F0390	GCA_000224615.1_Prev_oulo_F0390_V1
HOT288 288F0390 1 2 1485	Prevotella_oulorum__HOT_288__Strain_F0390__GB_tbd__Named__G__4	GCA_000224615.1_Prev_oulo_F0390_V1
HOT309 309DO045 1 2 1485	Prevotella_sp.__HOT_309__Clone_DO045__GB_AF385515__Phylotype__X__4	GCA_000224615.1_Prev_oulo_F0390_V1
HOT309 309-6203 2 2 1377	Prevotella_sp.__HOT_309__Clone_3083__GB_FJ976203__Phylotype__X__4	GCA_000224615.1_Prev_oulo_F0390_V1
HOT794 794-0414 1 1 1485	Prevotella_multisaccharivorax__HOT_794__Strain_JCM_12954__GB_AB200414__Named__G__1	GCA_000224615.1_Prev_oulo_F0390_V1
HOT300 300-8625 1 3 1487	Prevotella_sp.__HOT_300__Clone_C3MLM058__GB_AY278625__Phylotype__X__4	GCA_000224615.1_Prev_oulo_F0390_V1
HOT300 300-0563 3 3 1380	Prevotella_sp.__HOT_300__Clone_ncd2142e01c1__GB_JF180563__Phylotype__X__4	GCA_000224615.1_Prev_oulo_F0390_V1
HOT300 300BR014 2 3 1487	Prevotella_sp.__HOT_300__Clone_BR014__GB_AF385554__Phylotype__X__4	GCA_000224615.1_Prev_oulo_F0390_V1
HOT0292 292AH125 2 2 1488	Prevotella_sp.__HOT_292__Clone_AH125__GB_AY005060__Phylotype__X__3	GCA_000224615.1_Prev_oulo_F0390_V1
HOT0292 292AU120 1 2 1488	Prevotella_sp.__HOT_292__Clone_AU120__GB_GQ422735__Phylotype__X__3	GCA_000224615.1_Prev_oulo_F0390_V1
HOT0293 293AO009 1 1 1487	Prevotella_sp.__HOT_293__Clone_AO009__GB_AY005059__Phylotype__X__2	GCA_000224615.1_Prev_oulo_F0390_V1
HOT305 305DO014 2 2 1484	Prevotella_sp.__HOT_305__Clone_DO014__GB_AF385509__Phylotype__X__4	GCA_000224615.1_Prev_oulo_F0390_V1
HOT305 305-0424 1 2 1376	Prevotella_sp.__HOT_305__Clone_070055_034__GB_JQ460424__Phylotype__X__4	GCA_000224615.1_Prev_oulo_F0390_V1
HOT705 SEQF2523 1 4 1523	Prevotella oralis HGA0225	GCA_000413355.1_Prev_oral_HGA0225_V1
HOT705 705-3522 2 2 1508	Prevotella_oralis__HOT_705__Strain_ATCC_33269__GB_AY323522__Named__G__3	GCA_000413355.1_Prev_oral_HGA0225_V1
HOT705 SEQF1988 1 2 1462	Prevotella oralis ATCC 33269	GCA_000185145.2_ASM18514v2
HOT705 SEQF1988 2 2 1523	Prevotella oralis ATCC 33269	GCA_000185145.2_ASM18514v2
HOT705 SEQF2523 3 4 1523	Prevotella oralis HGA0225	GCA_000413355.1_Prev_oral_HGA0225_V1
HOT705 SEQF2523 2 4 1523	Prevotella oralis HGA0225	GCA_000413355.1_Prev_oral_HGA0225_V1
HOT705 SEQF2523 4 4 1523	Prevotella oralis HGA0225	GCA_000413355.1_Prev_oral_HGA0225_V1
HOT705 705-5176 1 2 1490	Prevotella_oralis__HOT_705__Clone_ELU0173-000438__GB_HQ815176__Named__G__3	GCA_000413355.1_Prev_oral_HGA0225_V1
HOT705 SEQF2618 4 4 1521	Prevotella oralis CC98A	GCA_000507905.1_Prev_oral_CC98A_V1
HOT705 SEQF2618 1 4 1521	Prevotella oralis CC98A	GCA_000507905.1_Prev_oral_CC98A_V1
HOT705 SEQF2618 3 4 1521	Prevotella oralis CC98A	GCA_000507905.1_Prev_oral_CC98A_V1
HOT705 SEQF2618 2 4 1521	Prevotella oralis CC98A	GCA_000507905.1_Prev_oral_CC98A_V1
HOT303 SEQF1935 1 1 1448	Prevotella pleuritidis F0068	GCA_000468135.1_PpleuF0068v1.0
HOT303 303-9992 1 1 1487	Prevotella_pleuritidis__HOT_303__Clone_102D01__GB_AM419992__Named__G__4	GCA_000468135.1_PpleuF0068v1.0
HOT600 600-5635 1 1 1485	Prevotella_enoeca__HOT_600__Strain_ATCC_51261__GB_AJ005635__Named__G__2	GCA_000468135.1_PpleuF0068v1.0
HOT600 SEQF2792 1 3 1543	Prevotella enoeca F0113	GCA_001444445.1_ASM144444v1
HOT600 SEQF2792 3 3 1543	Prevotella enoeca F0113	GCA_001444445.1_ASM144444v1
HOT600 SEQF2792 2 3 1543	Prevotella enoeca F0113	GCA_001444445.1_ASM144444v1
HOT781 781F0055 1 2 1485	Prevotella_saccharolytica__HOT_781__Strain_F0055__GB_GQ422744__Named__G__4	GCA_001444445.1_ASM144444v1
HOT781 SEQF1946 1 1 868		Prevotella saccharolytica F0055	GCA_000318195.2_ASM31819v2
HOT781 781-3320 2 2 1485	Prevotella_saccharolytica__HOT_781__Strain_JCM_17484__GB_NR_113320__Named__G__4	GCA_000318195.2_ASM31819v2
HOT665 665-1227 1 1 1485	Prevotella_marshii__HOT_665__Strain_E9_34__GB_AF481227__Named__G__3	GCA_000318195.2_ASM31819v2
HOT665 SEQF1915 1 1 1518	Prevotella marshii DSM 16973 = JCM 13450	GCA_000146675.1_ASM14667v1
HOT301 301BS041 1 1 1486	Prevotella_sp.__HOT_301__Clone_BS041__GB_AF385558__Phylotype__X__3	GCA_000146675.1_ASM14667v1
HOT475 475-7238 2 2 1377	Prevotella_sp.__HOT_475__Clone_ncd2221f05c1__GB_JF187238__Unnamed__X__3	GCA_000146675.1_ASM14667v1
HOT475 475IK053 1 2 1485	Prevotella_sp.__HOT_475__Clone_IK053__GB_AY349401__Unnamed__X__3	GCA_000146675.1_ASM14667v1
HOT317 317-5061 1 2 1484	Prevotella_sp.__HOT_317__Strain_B31FD__GB_AY005061__Unnamed__G__5	GCA_000146675.1_ASM14667v1
HOT317 317-8624 2 2 1484	Prevotella_sp.__HOT_317__Clone_C3MKM081__GB_AY278624__Unnamed__G__5	GCA_000146675.1_ASM14667v1
HOT472 472GU027 1 2 1484	Prevotella_sp.__HOT_472__Clone_GU027__GB_AY349398__Unnamed__G__5	GCA_000146675.1_ASM14667v1
HOT658 658-6481 1 1 1484	Prevotella_loescheii__HOT_658__Strain_ATCC_15930__GB_L16481__Named__G__4	GCA_000146675.1_ASM14667v1
HOT472 SEQF1617 1 2 1429	Prevotella sp. oral taxon 472 str. F0295	GCA_000163495.1_ASM16349v1
HOT472 472-2261 2 2 1376	Prevotella_sp.__HOT_472__Clone_070034_820__GB_JQ462261__Unnamed__G__5	GCA_000163495.1_ASM16349v1
HOT795 795-8825 1 1 1484	Prevotella_shahii__HOT_795__Strain_JCM_12083__GB_AB108825__Named__G__4	GCA_000163495.1_ASM16349v1
HOT378 378-1228 1 1 1484	Prevotella_micans__HOT_378__Strain_E7_56__GB_AF481228__Named__G__4	GCA_000163495.1_ASM16349v1
HOT378 SEQF1863 1 1 1517	Prevotella micans F0438	GCA_000243035.1_Prev_mica_F0438_V1
HOT942 942-6378 1 1 1376	Prevotella_sp.__HOT_942__Clone_22B412__GB_FJ976378__Phylotype__X__3	GCA_000243035.1_Prev_mica_F0438_V1
HOT0299 299BI027 1 1 1484	Prevotella_nanceiensis__HOT_299__Clone_BI027__GB_AY005064__Named__G__5	GCA_000243035.1_Prev_mica_F0438_V1
HOT304 304DA058 1 1 1487	Prevotella_sp.__HOT_304__Clone_DA058__GB_AY005065__Phylotype__X__4	GCA_000243035.1_Prev_mica_F0438_V1
HOT562 SEQF2732 1 1 1538	Prevotella buccalis DNF00985	GCA_000759265.1_04_NF40_HMP2140v01
HOT562 562-6476 1 1 1487	Prevotella_buccalis__HOT_562__Strain_ATCC_35310__GB_L16476__Named__G__0	GCA_000759265.1_04_NF40_HMP2140v01
HOT562 SEQF2731 1 1 1540	Prevotella buccalis DNF00853	GCA_000759185.1_04_NF40_HMP2137v01
HOT315 315FW035 1 2 1492	Prevotella_sp.__HOT_315__Clone_FW035__GB_AY349394__Phylotype__X__3	GCA_000759185.1_04_NF40_HMP2137v01
HOT315 315-8210 2 2 1385	Prevotella_sp.__HOT_315__Clone_071040_151__GB_JQ468210__Phylotype__X__3	GCA_000759185.1_04_NF40_HMP2137v01
HOT515 515-3622 1 1 1491	Prevotella_sp.__HOT_515__Clone_MB3_P13__GB_DQ003622__Phylotype__X__3	GCA_000759185.1_04_NF40_HMP2137v01
HOT376 376-1226 1 1 1488	Prevotella_sp.__HOT_376__Strain_E7_34__GB_AF481226__Unnamed__X__3	GCA_000759185.1_04_NF40_HMP2137v01
HOT583 SEQF2022 1 1 1522	Prevotella dentalis DSM 3688	GCA_000220215.1_ASM22021v1
HOT583 583-1876 1 1 1489	Prevotella_dentalis__HOT_583__Strain_DSM_3688__GB_X81876__Named__G__3	GCA_000220215.1_ASM22021v1
HOT553 SEQF1934 1 1 1455	Prevotella baroniae F0067	GCA_000468635.1_PbaroF0067v1.0
HOT553 553-2605 1 1 1488	Prevotella_baroniae__HOT_553__Clone_PUS9.180__GB_AJ012605__Named__G__3	GCA_000468635.1_PbaroF0067v1.0
HOT560 560-6478 1 1 1487	Prevotella_buccae__HOT_560__Strain_ATCC_33690__GB_L16478__Named__G__3	GCA_000468635.1_PbaroF0067v1.0
HOT560 SEQF1985 1 2 1403	Prevotella buccae ATCC 33574	GCA_000184945.1_ASM18494v1
HOT443 443-1415 1 1 1487	Prevotella_sp.__HOT_443__Clone_P4PB_24__GB_AY331415__Phylotype__X__3	GCA_000184945.1_ASM18494v1
HOT820 820-7212 1 1 1486	Prevotella_sp.__HOT_820__Strain_P2A_FAAD4__GB_AF537212__Unnamed__G__2	GCA_000184945.1_ASM18494v1
HOT526 526-4134 1 2 1486	Prevotella_sp.__HOT_526__Clone_MB7_G16__GB_DQ003633__Phylotype__X__4	GCA_000184945.1_ASM18494v1
HOT526 526-3633 2 2 1487	Prevotella_sp.__HOT_526__Strain_P4P_53__GB_AY944134__Phylotype__X__4	GCA_000184945.1_ASM18494v1
HOT466 466-3406 2 2 1486	Alloprevotella_tannerae__HOT_466__Strain_93-1-2__GB_AF183406__Named__G__5	GCA_000184945.1_ASM18494v1
HOT466 466-5634 1 2 1486	Alloprevotella_tannerae__HOT_466__Strain_ATCC_51259__GB_AJ005634__Named__G__5	GCA_000184945.1_ASM18494v1
HOT466 SEQF1597 2 2 881		Alloprevotella tannerae ATCC 51259	GCA_000159995.1_ASM15999v1
HOT466 SEQF1597 1 2 1518	Alloprevotella tannerae ATCC 51259	GCA_000159995.1_ASM15999v1
HOT308 308DO039 1 1 1482	Alloprevotella_sp.__HOT_308__Clone_DO039__GB_AF385513__Phylotype__X__5	GCA_000159995.1_ASM15999v1
HOT914 914-7808 1 1 1374	Alloprevotella_sp.__HOT_914__Clone_ncd78e11c1__GB_HM247808__Phylotype__X__4	GCA_000159995.1_ASM15999v1
HOT473 SEQF1899 1 1 730		Prevotella sp. oral taxon 473 str. F0040	GCA_000318095.2_ASM31809v2
HOT473 473HF050 2 2 1482	Alloprevotella_sp.__HOT_473__Clone_HF050__GB_AY349399__Unnamed__G__5	GCA_000318095.2_ASM31809v2
HOT473 473IK062 1 2 1482	Alloprevotella_sp.__HOT_473__Clone_IK062__GB_AY349402__Unnamed__G__5	GCA_000318095.2_ASM31809v2
HOT912 912-Wade 1 2 1483	Alloprevotella_sp.__HOT_912__Clone_BL176__GB_JQ406532__Phylotype__X__3	GCA_000318095.2_ASM31809v2
HOT912 912Wade2 2 2 1483	Alloprevotella_sp.__HOT_912__Clone_HS3_1W_C6__GB_KC203063__Phylotype__X__3	GCA_000318095.2_ASM31809v2
HOT913 913-9172 1 1 1483	Alloprevotella_sp.__HOT_913__Clone_P3D1-597__GB_EF509172__Phylotype__X__3	GCA_000318095.2_ASM31809v2
HOT302 SEQF1671 1 1 1521	Alloprevotella rava F0323	GCA_000234115.1_Prevotella_sp_F0323_V1
HOT302 302-9190 2 2 1488	Alloprevotella_rava__HOT_302__Strain_W6968__GB_JQ039190__Named__G__4	GCA_000234115.1_Prevotella_sp_F0323_V1
HOT302 302F0020 1 2 1488	Alloprevotella_rava__HOT_302__Strain_F0020__GB_GQ422736__Named__G__4	GCA_000234115.1_Prevotella_sp_F0323_V1
HOT787 SEQF2453 1 1 1518	Bacteroides pyogenes F0041	GCA_000466505.1_ASM46650v1
HOT787 787F0041 1 1 1484	Bacteroides_pyogenes__HOT_787__Strain_F0041__GB_GQ422748__Named__G__0	GCA_000466505.1_ASM46650v1
